"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-11","2023","03","0.0752612823","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-13","2023","03","0.4429933357","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-12","2023","03","0.1622207705","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-14","2023","03","0.2729777548","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-15","2023","03","6.0677695194","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-16","2023","03","10.1118131198","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-17","2023","03","1.0006297449","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-18","2023","03","4.4114013095","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-19","2023","03","4.5083703815","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-20","2023","03","15.3687912585","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-22","2023","03","3.6194100413","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-21","2023","03","11.6241780487","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-23","2023","03","6.7722405292","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-24","2023","03","2.0732818867","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-25","2023","03","1.7138441449","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-26","2023","03","0.905920615","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-02","2023","03","0.0331327942","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-01","2023","03","0.1174282202","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-03","2023","03","0.0787969464","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-04","2023","03","0.165305919","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-05","2023","03","0.1645565691","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-06","2023","03","1.0265566693","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-07","2023","03","1.8080147053","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-08","2023","03","0.0590839145","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-09","2023","03","0.1307938713","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-10","2023","03","0.3758003614","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-11","2023","03","0.2686275114","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-13","2023","03","0.8098439651","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-12","2023","03","1.1141684017","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-14","2023","03","0.3540068104","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-15","2023","03","4.3034732808","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-16","2023","03","6.1258159502","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-17","2023","03","0.2164531586","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-18","2023","03","1.3454751037","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-19","2023","03","0.7110803821","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-20","2023","03","10.0047828018","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-22","2023","03","4.7953491","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-21","2023","03","7.4096477173","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-23","2023","03","9.3415082541","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-24","2023","03","2.4592530999","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-25","2023","03","2.8812593488","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-03-26","2023","03","0.8504032438","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-01","2023","03","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-03","2023","03","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-02","2023","03","9.40774E-5","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-04","2023","03","0.0002939916","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-05","2023","03","0.0001966106","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-06","2023","03","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-07","2023","03","9.40774E-5","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-08","2023","03","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-09","2023","03","0.000145344","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-10","2023","03","0.1542780782","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-11","2023","03","0.1329840749","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-12","2023","03","0.0039367463","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-13","2023","03","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-14","2023","03","0.0001025332","NRSC VIC MODEL"
