"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Brahmani and Baitarni Basin","Brahmani","2022-11-09","2022","11","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-11-10","2022","11","4.67385E-5","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-11-11","2022","11","0.0059120021","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-11-12","2022","11","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-11-13","2022","11","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-11-01","2022","11","8.1634149667","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-11-03","2022","11","30.9858986966","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-11-02","2022","11","4.127043031","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-11-04","2022","11","11.6725545355","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-11-05","2022","11","9.2559320322","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-11-06","2022","11","4.1029342388","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-11-07","2022","11","11.4851834023","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-11-08","2022","11","1.6220665673","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-11-09","2022","11","11.8903629012","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-11-10","2022","11","0.9357347693","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-11-11","2022","11","16.5027303547","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-11-12","2022","11","9.6876058977","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-11-13","2022","11","2.1060394714","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-11-01","2022","11","0.3706841226","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-11-02","2022","11","4.4240018041","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-11-03","2022","11","6.2362944491","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-11-04","2022","11","3.0010620193","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-11-05","2022","11","4.6082119335","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-11-06","2022","11","0.8680535788","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-11-07","2022","11","2.9050899456","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-11-08","2022","11","0.0741313276","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-11-09","2022","11","1.0519453753","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-11-10","2022","11","0.2199813186","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-11-11","2022","11","1.5887445697","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-11-12","2022","11","9.1700904493","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-11-13","2022","11","16.186265114","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2022-11-01","2022","11","0.1218356897","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2022-11-03","2022","11","5.4109936891","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2022-11-02","2022","11","0.5598860428","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2022-11-04","2022","11","0.449982363","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2022-11-05","2022","11","0.8514576145","NRSC VIC MODEL"
