"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-02-18","2023","02","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-02-19","2023","02","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-02-20","2023","02","0.0001372466","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-02-21","2023","02","0.0134302586","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-02-22","2023","02","1.4456396254","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-02-23","2023","02","2.0467813695","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-02-24","2023","02","0.4121919532","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-01","2023","02","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-02","2023","02","0.0503783175","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-03","2023","02","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-04","2023","02","0.0082435639","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-05","2023","02","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-06","2023","02","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-07","2023","02","0.6275865278","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-08","2023","02","0.1321392544","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-09","2023","02","0.5490555925","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-11","2023","02","0.0005597116","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-12","2023","02","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-13","2023","02","0.0988288423","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-16","2023","02","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-15","2023","02","0.0037289441","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-17","2023","02","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-18","2023","02","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-19","2023","02","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-20","2023","02","0.0659270375","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-21","2023","02","0.0659270375","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-22","2023","02","0.2964324121","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-23","2023","02","0.7233528101","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-02-24","2023","02","1.4190240656","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-01","2023","02","0.0151314137","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-02","2023","02","0.0050931772","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-03","2023","02","0.0026106667","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-04","2023","02","0.0067054833","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-05","2023","02","0.0097320586","NRSC VIC MODEL"
