Basin,Date,Evapotranspiration (mm),Year
Area of Inland drainage in Rajasthan Basin,2023-03-08,0.22,2023
Area of Inland drainage in Rajasthan Basin,2023-03-09,0.31,2023
Area of Inland drainage in Rajasthan Basin,2023-03-10,0.3,2023
Area of Inland drainage in Rajasthan Basin,2023-03-11,0.29,2023
Area of Inland drainage in Rajasthan Basin,2023-03-12,0.28,2023
Area of Inland drainage in Rajasthan Basin,2023-03-13,0.27,2023
Area of Inland drainage in Rajasthan Basin,2023-03-14,0.26,2023
Area of Inland drainage in Rajasthan Basin,2023-03-15,0.24,2023
Area of Inland drainage in Rajasthan Basin,2023-03-16,0.2,2023
Area of Inland drainage in Rajasthan Basin,2023-03-17,0.42,2023
Area of Inland drainage in Rajasthan Basin,2023-03-18,0.78,2023
Area of Inland drainage in Rajasthan Basin,2023-03-19,0.47,2023
Area of Inland drainage in Rajasthan Basin,2023-03-20,0.57,2023
Area of Inland drainage in Rajasthan Basin,2023-03-21,0.89,2023
Area of Inland drainage in Rajasthan Basin,2023-03-22,0.75,2023
Area of Inland drainage in Rajasthan Basin,2023-03-23,0.89,2023
Area of Inland drainage in Rajasthan Basin,2023-03-24,0.8,2023
Area of Inland drainage in Rajasthan Basin,2023-03-25,0.72,2023
Area of Inland drainage in Rajasthan Basin,2023-03-26,0.83,2023
Barak and Others Basin,2022-11-01,3.61,2022
Barak and Others Basin,2022-11-02,3.39,2022
Barak and Others Basin,2022-11-03,2.83,2022
Barak and Others Basin,2022-11-04,3.09,2022
Barak and Others Basin,2022-11-05,3.22,2022
Barak and Others Basin,2022-11-06,3.1,2022
Barak and Others Basin,2022-11-07,2.81,2022
Barak and Others Basin,2022-11-08,2.81,2022
Barak and Others Basin,2022-11-09,2.9,2022
Barak and Others Basin,2022-11-10,2.79,2022
Barak and Others Basin,2022-11-11,2.55,2022
Barak and Others Basin,2022-11-12,2.23,2022
Barak and Others Basin,2022-11-13,2.38,2022
Barak and Others Basin,2022-11-14,2.29,2022
Barak and Others Basin,2022-11-15,2.21,2022
Barak and Others Basin,2022-11-16,2.09,2022
Barak and Others Basin,2022-11-17,2,2022
Barak and Others Basin,2022-11-18,1.99,2022
Barak and Others Basin,2022-11-19,2.08,2022
Barak and Others Basin,2022-11-20,1.88,2022
Barak and Others Basin,2022-11-21,1.9,2022
Barak and Others Basin,2022-11-22,1.83,2022
Barak and Others Basin,2022-11-23,1.7,2022
Barak and Others Basin,2022-11-24,1.63,2022
Barak and Others Basin,2022-11-25,1.73,2022
Barak and Others Basin,2022-11-26,1.64,2022
Barak and Others Basin,2022-11-27,1.66,2022
Barak and Others Basin,2022-11-28,1.59,2022
Barak and Others Basin,2022-11-29,1.45,2022
Barak and Others Basin,2022-11-30,1.24,2022
Barak and Others Basin,2022-12-01,1.27,2022
Barak and Others Basin,2022-12-02,1.25,2022
Barak and Others Basin,2022-12-03,1.15,2022
Barak and Others Basin,2022-12-04,1.25,2022
Barak and Others Basin,2022-12-05,1.16,2022
Barak and Others Basin,2022-12-06,1.13,2022
Barak and Others Basin,2022-12-07,1.07,2022
Barak and Others Basin,2022-12-08,1.04,2022
Barak and Others Basin,2022-12-09,1.02,2022
Barak and Others Basin,2022-12-10,0.99,2022
Barak and Others Basin,2022-12-11,0.91,2022
Barak and Others Basin,2022-12-12,0.92,2022
Barak and Others Basin,2022-12-13,0.86,2022
Barak and Others Basin,2022-12-14,0.65,2022
Barak and Others Basin,2022-12-15,0.62,2022
Barak and Others Basin,2022-12-16,0.62,2022
Barak and Others Basin,2022-12-17,0.66,2022
Barak and Others Basin,2022-12-18,0.74,2022
Barak and Others Basin,2022-12-19,0.67,2022
Barak and Others Basin,2022-12-20,0.64,2022
Barak and Others Basin,2022-12-21,0.67,2022
Barak and Others Basin,2022-12-22,0.64,2022
Barak and Others Basin,2022-12-23,0.61,2022
Barak and Others Basin,2022-12-24,0.63,2022
Barak and Others Basin,2022-12-25,0.6,2022
Barak and Others Basin,2022-12-26,0.39,2022
Barak and Others Basin,2022-12-27,0.56,2022
Barak and Others Basin,2022-12-28,1,2022
Barak and Others Basin,2022-12-29,0.53,2022
Barak and Others Basin,2022-12-30,0.52,2022
Barak and Others Basin,2022-12-31,0.5,2022
Barak and Others Basin,2023-01-01,0.5,2023
Barak and Others Basin,2023-01-02,0.56,2023
Barak and Others Basin,2023-01-03,0.59,2023
Barak and Others Basin,2023-01-04,0.57,2023
Barak and Others Basin,2023-01-05,0.59,2023
Barak and Others Basin,2023-01-06,0.59,2023
Barak and Others Basin,2023-01-07,0.62,2023
Barak and Others Basin,2023-01-08,0.62,2023
Barak and Others Basin,2023-01-09,0.66,2023
Barak and Others Basin,2023-01-10,0.66,2023
Barak and Others Basin,2023-01-11,0.78,2023
Barak and Others Basin,2023-01-12,0.76,2023
Barak and Others Basin,2023-01-13,0.71,2023
Barak and Others Basin,2023-01-14,0.8,2023
Barak and Others Basin,2023-01-15,0.73,2023
Barak and Others Basin,2023-01-17,0.62,2023
Barak and Others Basin,2023-01-18,0.61,2023
Barak and Others Basin,2023-01-19,0.65,2023
Barak and Others Basin,2023-01-20,0.7,2023
Barak and Others Basin,2023-01-21,0.77,2023
Barak and Others Basin,2023-01-22,0.73,2023
Barak and Others Basin,2023-01-23,0.8,2023
Barak and Others Basin,2023-01-24,0.96,2023
Barak and Others Basin,2023-01-25,0.97,2023
Barak and Others Basin,2023-01-26,0.97,2023
Barak and Others Basin,2023-01-27,0.95,2023
Barak and Others Basin,2023-01-28,0.93,2023
Barak and Others Basin,2023-01-29,0.94,2023
Barak and Others Basin,2023-01-30,0.96,2023
Barak and Others Basin,2023-01-31,0.94,2023
Barak and Others Basin,2023-02-01,0.8,2023
Barak and Others Basin,2023-02-02,0.81,2023
Barak and Others Basin,2023-02-03,0.86,2023
Barak and Others Basin,2023-02-04,0.78,2023
Barak and Others Basin,2023-02-05,0.75,2023
Barak and Others Basin,2023-02-06,0.72,2023
Barak and Others Basin,2023-02-07,0.71,2023
Barak and Others Basin,2023-02-08,0.72,2023
Barak and Others Basin,2023-02-09,0.73,2023
Barak and Others Basin,2023-02-10,0.73,2023
Barak and Others Basin,2023-02-11,0.7,2023
Barak and Others Basin,2023-02-12,0.69,2023
Barak and Others Basin,2023-02-13,0.65,2023
Barak and Others Basin,2023-02-14,0.65,2023
Barak and Others Basin,2023-02-15,0.65,2023
Barak and Others Basin,2023-02-16,0.66,2023
Barak and Others Basin,2023-02-17,0.66,2023
Barak and Others Basin,2023-02-18,0.65,2023
Barak and Others Basin,2023-02-19,0.63,2023
Barak and Others Basin,2023-02-20,0.61,2023
Barak and Others Basin,2023-02-21,0.59,2023
Barak and Others Basin,2023-02-22,0.56,2023
Barak and Others Basin,2023-02-23,1.19,2023
Barak and Others Basin,2023-02-24,0.82,2023
Barak and Others Basin,2023-02-26,0.63,2023
Barak and Others Basin,2023-02-27,0.58,2023
Barak and Others Basin,2023-02-28,0.6,2023
Barak and Others Basin,2023-03-01,0.51,2023
Barak and Others Basin,2023-03-02,0.5,2023
Barak and Others Basin,2023-03-03,0.49,2023
Barak and Others Basin,2023-03-04,0.48,2023
Barak and Others Basin,2023-03-05,0.47,2023
Barak and Others Basin,2023-03-06,0.44,2023
Barak and Others Basin,2023-03-07,0.44,2023
Barak and Others Basin,2023-03-08,0.43,2023
Barak and Others Basin,2023-03-09,0.41,2023
Barak and Others Basin,2023-03-10,0.42,2023
Barak and Others Basin,2023-03-11,0.4,2023
Barak and Others Basin,2023-03-12,0.38,2023
Barak and Others Basin,2023-03-13,0.37,2023
Barak and Others Basin,2023-03-14,0.36,2023
Barak and Others Basin,2023-03-15,0.32,2023
Barak and Others Basin,2023-03-16,1.89,2023
Barak and Others Basin,2023-03-17,1.66,2023
Barak and Others Basin,2023-03-18,1.74,2023
Barak and Others Basin,2023-03-19,1.61,2023
Barak and Others Basin,2023-03-20,4.48,2023
Barak and Others Basin,2023-03-21,4.27,2023
Barak and Others Basin,2023-03-22,2.74,2023
Barak and Others Basin,2023-03-23,2.21,2023
Barak and Others Basin,2023-03-24,1.89,2023
Barak and Others Basin,2023-03-25,1.66,2023
Barak and Others Basin,2023-03-26,1.68,2023
Brahamaputra Basin,2022-11-01,3.23,2022
Brahamaputra Basin,2022-11-02,3.06,2022
Brahamaputra Basin,2022-11-03,2.72,2022
Brahamaputra Basin,2022-11-04,2.81,2022
Brahamaputra Basin,2022-11-05,2.69,2022
Brahamaputra Basin,2022-11-06,2.55,2022
Brahamaputra Basin,2022-11-07,2.41,2022
Brahamaputra Basin,2022-11-08,2.26,2022
Brahamaputra Basin,2022-11-09,2.18,2022
Brahamaputra Basin,2022-11-10,2.22,2022
Brahamaputra Basin,2022-11-11,1.99,2022
Brahamaputra Basin,2022-11-12,1.48,2022
Brahamaputra Basin,2022-11-13,1.74,2022
Brahamaputra Basin,2022-11-14,1.84,2022
Brahamaputra Basin,2022-11-15,1.7,2022
Brahamaputra Basin,2022-11-16,1.71,2022
Brahamaputra Basin,2022-11-17,1.53,2022
Brahamaputra Basin,2022-11-18,1.19,2022
Brahamaputra Basin,2022-11-19,1.12,2022
Brahamaputra Basin,2022-11-20,1.07,2022
Brahamaputra Basin,2022-11-21,1.49,2022
Brahamaputra Basin,2022-11-22,1.3,2022
Brahamaputra Basin,2022-11-23,1.55,2022
Brahamaputra Basin,2022-11-24,1.19,2022
Brahamaputra Basin,2022-11-25,1.41,2022
Brahamaputra Basin,2022-11-26,1.13,2022
Brahamaputra Basin,2022-11-27,1.22,2022
Brahamaputra Basin,2022-11-28,1.08,2022
Brahamaputra Basin,2022-11-29,1.24,2022
Brahamaputra Basin,2022-11-30,1.04,2022
Brahamaputra Basin,2022-12-01,1,2022
Brahamaputra Basin,2022-12-02,0.88,2022
Brahamaputra Basin,2022-12-03,0.95,2022
Brahamaputra Basin,2022-12-04,0.83,2022
Brahamaputra Basin,2022-12-05,1,2022
Brahamaputra Basin,2022-12-06,0.8,2022
Brahamaputra Basin,2022-12-07,0.8,2022
Brahamaputra Basin,2022-12-08,0.72,2022
Brahamaputra Basin,2022-12-09,0.72,2022
Brahamaputra Basin,2022-12-10,0.67,2022
Brahamaputra Basin,2022-12-11,0.7,2022
Brahamaputra Basin,2022-12-12,0.63,2022
Brahamaputra Basin,2022-12-13,0.6,2022
Brahamaputra Basin,2022-12-14,0.59,2022
Brahamaputra Basin,2022-12-15,0.56,2022
Brahamaputra Basin,2022-12-16,0.55,2022
Brahamaputra Basin,2022-12-17,0.58,2022
Brahamaputra Basin,2022-12-18,0.6,2022
Brahamaputra Basin,2022-12-19,0.56,2022
Brahamaputra Basin,2022-12-20,0.53,2022
Brahamaputra Basin,2022-12-21,0.54,2022
Brahamaputra Basin,2022-12-22,0.53,2022
Brahamaputra Basin,2022-12-23,0.5,2022
Brahamaputra Basin,2022-12-24,0.52,2022
Brahamaputra Basin,2022-12-25,0.33,2022
Brahamaputra Basin,2022-12-26,0.63,2022
Brahamaputra Basin,2022-12-27,0.44,2022
Brahamaputra Basin,2022-12-28,0.67,2022
Brahamaputra Basin,2022-12-29,0.53,2022
Brahamaputra Basin,2022-12-30,0.51,2022
Brahamaputra Basin,2022-12-31,0.45,2022
Brahamaputra Basin,2023-01-01,0.48,2023
Brahamaputra Basin,2023-01-02,0.49,2023
Brahamaputra Basin,2023-01-03,0.49,2023
Brahamaputra Basin,2023-01-04,0.5,2023
Brahamaputra Basin,2023-01-05,0.53,2023
Brahamaputra Basin,2023-01-06,0.72,2023
Brahamaputra Basin,2023-01-07,0.69,2023
Brahamaputra Basin,2023-01-08,0.68,2023
Brahamaputra Basin,2023-01-09,0.66,2023
Brahamaputra Basin,2023-01-10,0.66,2023
Brahamaputra Basin,2023-01-11,0.65,2023
Brahamaputra Basin,2023-01-12,0.66,2023
Brahamaputra Basin,2023-01-13,0.92,2023
Brahamaputra Basin,2023-01-14,0.66,2023
Brahamaputra Basin,2023-01-15,0.73,2023
Brahamaputra Basin,2023-01-17,0.62,2023
Brahamaputra Basin,2023-01-18,0.64,2023
Brahamaputra Basin,2023-01-19,0.73,2023
Brahamaputra Basin,2023-01-20,0.74,2023
Brahamaputra Basin,2023-01-21,0.61,2023
Brahamaputra Basin,2023-01-22,0.73,2023
Brahamaputra Basin,2023-01-23,0.7,2023
Brahamaputra Basin,2023-01-24,1.24,2023
Brahamaputra Basin,2023-01-25,0.96,2023
Brahamaputra Basin,2023-01-26,0.94,2023
Brahamaputra Basin,2023-01-27,0.92,2023
Brahamaputra Basin,2023-01-28,0.91,2023
Brahamaputra Basin,2023-01-29,0.88,2023
Brahamaputra Basin,2023-01-30,0.93,2023
Brahamaputra Basin,2023-01-31,0.86,2023
Brahamaputra Basin,2023-02-01,0.77,2023
Brahamaputra Basin,2023-02-02,0.74,2023
Brahamaputra Basin,2023-02-03,0.78,2023
Brahamaputra Basin,2023-02-04,0.72,2023
Brahamaputra Basin,2023-02-05,0.69,2023
Brahamaputra Basin,2023-02-06,0.63,2023
Brahamaputra Basin,2023-02-07,0.56,2023
Brahamaputra Basin,2023-02-08,0.94,2023
Brahamaputra Basin,2023-02-09,0.66,2023
Brahamaputra Basin,2023-02-10,0.89,2023
Brahamaputra Basin,2023-02-11,0.77,2023
Brahamaputra Basin,2023-02-12,0.85,2023
Brahamaputra Basin,2023-02-13,1.14,2023
Brahamaputra Basin,2023-02-14,1.24,2023
Brahamaputra Basin,2023-02-15,0.95,2023
Brahamaputra Basin,2023-02-16,0.96,2023
Brahamaputra Basin,2023-02-17,0.99,2023
Brahamaputra Basin,2023-02-18,0.96,2023
Brahamaputra Basin,2023-02-19,0.91,2023
Brahamaputra Basin,2023-02-20,0.8,2023
Brahamaputra Basin,2023-02-21,0.86,2023
Brahamaputra Basin,2023-02-22,1.24,2023
Brahamaputra Basin,2023-02-23,1.63,2023
Brahamaputra Basin,2023-02-24,1.07,2023
Brahamaputra Basin,2023-02-26,1.31,2023
Brahamaputra Basin,2023-02-27,1.3,2023
Brahamaputra Basin,2023-02-28,1.17,2023
Brahamaputra Basin,2023-03-01,1.16,2023
Brahamaputra Basin,2023-03-02,1.08,2023
Brahamaputra Basin,2023-03-03,1.16,2023
Brahamaputra Basin,2023-03-04,1.1,2023
Brahamaputra Basin,2023-03-05,1.05,2023
Brahamaputra Basin,2023-03-06,0.77,2023
Brahamaputra Basin,2023-03-07,1.16,2023
